Date,Close/Last,Volume,Open,High,Low,Prev_Close
735555,48.74,23938060,49.13,49.325,48.7,49.46
735556,48.22,26166200,48.66,48.7549,47.93,48.74
735557,48.7,21486310,48.0,48.7,47.87,48.22
735558,47.98,42867970,49.02,49.05,47.57,48.7
735561,47.59,34266860,47.99,48.0,47.39,47.98
735562,47.47,27951120,47.66,47.97,47.45,47.59
735563,47.75,27162850,47.49,47.99,47.28,47.47
735565,47.81,21534430,47.95,48.195,47.61,47.75
735568,48.62,31187680,47.88,48.78,47.71,47.81
735569,48.46,25768100,48.84,49.05,48.2,48.62
735570,48.08,23528130,48.44,48.5,47.805,48.46
735571,48.84,30342050,48.39,49.06,48.2,48.08
735572,48.42,26705270,48.82,48.97,48.38,48.84
735575,47.695,26652610,48.26,48.35,47.445,48.42
735576,47.59,24326090,47.11,47.92,47.05,47.695
735577,46.9,30284690,47.58,47.66,46.7001,47.59
735578,47.17,29060360,47.08,47.74,46.68,46.9
735579,46.95,34247280,46.78,47.73,46.67,47.17
735582,46.67,29213490,47.2,47.67,46.55,46.95
735583,45.16,47764300,45.9,46.34,45.13,46.67
735584,45.74,34967260,45.05,45.945,44.9,45.16
735585,47.52,40031480,46.58,47.52,46.3386,45.74
735586,47.66,64504160,47.63,48.1,47.17,47.52
735589,47.98,26561880,47.78,48.12,47.71,47.66
735590,48.45,23654190,48.37,48.8,48.13,47.98
735591,48.14,11442790,48.64,48.64,48.08,48.45
735593,47.88,13197120,48.41,48.41,47.82,48.14
735596,47.45,14417170,47.7,47.78,47.26,47.88
735597,47.02,16380820,47.44,47.62,46.84,47.45
735598,46.45,21551090,46.73,47.44,46.45,47.02
735600,46.76,27843560,46.66,47.42,46.54,46.45
735603,46.325,39667400,46.37,46.73,46.25,46.76
735604,45.65,36434980,46.38,46.749,45.54,46.325
735605,46.23,29103920,45.98,46.46,45.49,45.65
735606,47.59,29634030,46.75,47.7499,46.72,46.23
735607,47.19,23942750,47.61,47.82,46.9,47.59
735610,46.6,23623970,47.42,47.54,46.36,47.19
735611,46.355,35258300,46.97,47.91,46.06,46.6
735612,45.955,29713190,45.96,46.24,45.62,46.355
735613,45.48,32744260,46.22,46.38,45.41,45.955
735614,46.24,35683380,45.31,46.28,45.17,45.48
735618,46.39,36121800,46.3,46.65,45.57,46.24
735619,45.92,37113740,45.94,46.14,45.48,46.39
735620,47.13,35842790,46.38,47.135,46.08,45.92
735621,47.18,26136690,47.36,47.39,46.8,47.13
735624,47.01,40995700,47.0,47.1339,46.2399,47.18
735625,42.66,169115000,42.95,43.2,42.105,47.01
735626,41.19,84453280,42.74,42.79,41.16,42.66
735627,42.01,63551980,40.93,42.12,40.79,41.19
735628,40.4,77983360,41.55,41.58,40.35,42.01
735631,41.28,50274250,40.59,41.37,40.23,40.4
735632,41.6,52068450,41.63,41.93,41.045,41.28
735633,41.84,41585310,41.94,42.21,41.36,41.6
735634,42.45,36543020,42.22,42.64,41.855,41.84
735635,42.41,34612420,42.68,42.79,42.15,42.45
735638,42.36,27416280,42.24,42.74,42.21,42.41
735639,42.6,29655280,42.74,42.77,42.18,42.36
735640,42.38,38248500,42.65,42.65,42.21,42.6
735641,43.09,33238000,42.66,43.09,42.51,42.38
735642,43.87,40112080,43.38,43.87,43.15,43.09
735646,43.58,33692870,43.97,44.0,43.19,43.87
735647,43.53,27105640,43.63,43.7,43.39,43.58
735648,43.5,27598050,43.18,43.5263,43.05,43.53
735649,43.855,29710140,43.51,43.88,43.29,43.5
735652,44.15,32510550,43.7,44.19,43.65,43.855
735653,44.09,25262080,44.15,44.3,43.92,44.15
735654,43.99,29749090,43.95,44.09,43.8,44.09
735655,44.055,26524300,43.99,44.23,43.89,43.99
735656,43.85,33784370,44.13,44.2,43.66,44.055
735659,43.88,31766030,43.67,44.19,43.55,43.85
735660,43.28,31685600,43.56,43.825,43.09,43.88
735661,43.055,25746840,43.01,43.21,42.88,43.28
735662,43.11,23176110,43.07,43.24,42.82,43.055
735663,42.36,36120570,43.0,43.11,42.15,43.11
735666,42.85,32106530,42.19,43.125,42.19,42.36
735667,42.03,39158290,42.35,42.71,42.03,42.85
735668,41.98,32214780,42.31,42.37,41.84,42.03
735669,41.02,59984700,41.33,41.65,40.86,41.98
735670,41.38,57972120,40.7,41.47,40.61,41.02
735673,41.56,35257510,41.47,41.64,41.28,41.38
735674,41.695,31669340,41.37,41.83,41.15,41.56
735675,42.5,44178520,41.43,42.83,41.33,41.695
735676,42.285,33836100,42.26,42.59,42.22,42.5
735677,42.88,71754700,42.56,42.98,42.49,42.285
735680,42.855,26233420,42.88,43.13,42.78,42.88
735681,42.9,25453110,42.78,43.17,42.75,42.855
735682,41.46,43427180,42.92,42.925,41.44,42.9
735683,41.21,37483900,41.22,41.61,40.92,41.46
735684,40.97,33980410,41.12,41.43,40.83,41.21
735687,40.96,34999850,41.1,41.54,40.91,40.97
735688,40.655,34884740,40.78,41.03,40.54,40.96
735689,40.72,36841010,40.6,40.76,40.31,40.655
735690,40.29,37483000,40.66,40.74,40.12,40.72
735694,41.545,39161760,40.34,41.78,40.18,40.29
735695,41.53,28808840,41.61,41.91,41.31,41.545
735696,41.42,24699710,41.46,41.69,41.04,41.53
735697,41.48,25722630,41.25,41.62,41.25,41.42
735698,41.72,27856770,41.63,41.95,41.41,41.48
735701,41.76,30270750,41.4,42.06,41.39,41.72
735702,41.65,24238760,41.8,42.03,41.39,41.76
735703,42.255,27307270,41.76,42.46,41.68,41.65
735704,42.16,22425300,41.95,42.34,41.82,42.255
735705,41.615,41912450,41.67,41.74,41.16,42.16
735708,42.905,46051240,41.73,43.17,41.68,41.615
735709,42.635,26004920,43.0,43.15,42.53,42.905
735710,42.985,25032050,42.67,43.13,42.55,42.635
735711,43.34,45445510,42.89,43.61,42.8,42.985
735712,47.87,130885200,45.66,48.14,45.65,43.34
735715,48.03,58950840,47.23,48.13,47.22,47.87
735716,49.155,59860670,47.78,49.21,47.7,48.03
735717,49.06,47665440,48.72,49.31,48.5,49.155
735718,48.64,64127280,48.7,49.54,48.6,49.06
735719,48.655,36432670,48.58,48.875,48.4,48.64
735722,48.24,33986240,48.37,48.87,48.18,48.655
735723,47.6,50364250,47.82,48.16,47.31,48.24
735724,46.28,52416760,47.57,47.77,46.02,47.6
735725,46.7,32940820,46.27,47.085,46.16,46.28
735726,47.75,35060430,47.55,47.98,47.52,46.7
735729,47.37,24608910,47.55,47.91,47.37,47.75
735730,47.35,29927160,46.85,47.68,46.42,47.37
735731,47.625,34182750,48.19,48.32,47.57,47.35
735732,48.72,32956260,48.03,48.82,48.03,47.625
735733,48.295,28628370,48.87,48.905,48.05,48.72
735736,48.01,23918020,47.98,48.22,47.61,48.295
735737,47.58,28181300,47.56,47.81,47.18,48.01
735738,47.58,25035330,47.39,47.93,47.27,47.58
735739,47.42,22399100,47.28,47.6,47.005,47.58
735740,46.9,25700240,47.3,47.35,46.82,47.42
735744,46.59,29556430,46.83,46.88,46.19,46.9
735745,47.61,27333730,46.82,47.77,46.62,46.59
735746,47.45,19282810,47.5,48.02,47.39,47.61
735747,46.86,36497290,47.43,47.57,46.59,47.45
735750,47.23,28610080,47.06,47.77,46.62,46.86
735751,46.92,21484660,46.93,47.35,46.62,47.23
735752,46.85,28000370,47.37,47.735,46.82,46.92
735753,46.36,27474500,46.79,47.16,46.2,46.85
735754,46.14,25434870,46.31,46.52,45.84,46.36
735757,45.73,22108100,46.3,46.43,45.67,46.14
735758,45.65,24395800,45.76,45.94,45.46,45.73
735759,46.61,28416030,45.79,46.83,45.69,45.65
735760,46.44,27290100,46.66,46.92,46.13,46.61
735761,45.97,23916080,46.22,46.47,45.9,46.44
735764,45.475,33227000,45.45,45.65,45.0201,45.97
735765,45.83,26895950,45.35,46.24,45.3,45.475
735766,45.97,28683290,45.73,46.07,45.36,45.83
735767,46.72,32586480,46.22,46.8,46.17,45.97
735768,46.1,63733110,46.79,46.825,45.99,46.72
735771,46.23,20300480,46.33,46.72,46.16,46.1
735772,45.91,25881850,46.13,46.28,45.62,46.23
735773,45.635,34849400,45.67,46.245,45.55,45.91
735774,45.65,20599990,46.03,46.06,45.5,45.635
735775,45.26,49757070,45.65,46.28,45.03,45.65
735778,44.37,34004400,45.04,45.23,44.36,45.26
735779,44.15,35943040,44.71,44.72,43.94,44.37
735780,44.445,28339610,44.46,45.23,44.1,44.15
735781,44.4,21743250,44.48,44.75,44.06,44.445
735785,44.39,23025750,43.96,44.48,43.95,44.4
735786,44.3,36420230,44.34,44.49,43.32,44.39
735787,44.24,39761460,44.44,44.9,44.03,44.3
